"Age","Cycle","Generation"
47,1,3
36,1,3
44,1,3
64,1,2
40,1,3
50,1,2
73,1,1
46,1,3
52,1,2
44,1,3
53,1,2
50,1,2
36,1,3
44,1,3
54,1,2
43,1,3
40,1,3
43,1,3
36,1,3
45,1,3
63,1,2
49,1,2
51,1,2
65,1,2
45,1,3
54,1,2
38,1,3
59,1,2
59,1,2
55,1,2
36,1,3
47,1,3
37,1,3
56,1,2
51,1,2
41,1,3
55,1,2
38,1,3
48,1,3
63,1,2
49,1,2
54,1,2
59,1,2
53,1,2
58,1,2
65,1,2
50,1,2
51,1,2
58,1,2
56,1,2
58,1,2
41,1,3
31,1,3
43,1,3
39,1,3
51,1,2
50,1,2
60,1,2
61,1,2
45,1,3
27,1,3
62,1,2
50,1,2
36,1,3
52,1,2
41,1,3
40,1,3
27,1,3
39,1,3
61,1,2
36,1,3
42,1,3
35,1,3
45,1,3
67,1,1
45,1,3
56,1,2
47,1,3
52,1,2
50,1,2
44,1,3
33,1,3
35,1,3
51,1,2
60,1,2
74,1,1
58,1,2
46,1,3
46,1,3
36,1,3
39,1,3
65,1,2
65,1,2
61,1,2
52,1,2
33,1,3
40,1,3
47,1,3
43,1,3
48,1,3
52,1,2
53,1,2
47,1,3
29,1,3
57,1,2
48,1,3
34,1,3
62,1,2
48,1,3
53,1,2
58,1,2
41,1,3
62,1,2
63,1,2
38,1,3
42,1,3
63,1,2
47,1,3
30,1,3
61,1,2
62,1,2
60,1,2
54,1,2
47,1,3
44,1,3
47,1,3
65,1,2
46,1,3
55,1,2
49,1,2
45,2,3
49,2,3
63,2,2
38,2,3
46,2,3
66,2,2
44,2,3
49,2,3
52,2,2
48,2,3
54,2,2
46,2,3
56,2,2
55,2,2
52,2,2
56,2,2
49,2,3
38,2,3
46,2,3
75,2,1
42,2,3
41,2,3
45,2,3
38,2,3
47,2,3
65,2,2
51,2,2
54,2,2
41,2,3
67,2,2
28,2,3
47,2,3
56,2,2
44,2,3
61,2,2
57,2,2
49,2,3
58,2,2
50,2,3
39,2,3
61,2,2
62,2,2
60,2,2
53,2,2
60,2,2
28,2,3
43,2,3
59,2,2
60,2,2
43,2,3
33,2,3
33,2,3
45,2,3
37,2,3
29,2,3
52,2,2
38,2,3
41,2,3
38,2,3
55,2,2
47,2,3
29,2,3
52,2,2
54,2,2
43,2,3
42,2,3
41,2,3
38,2,3
51,2,2
44,2,3
51,2,2
54,2,2
47,2,3
69,2,1
56,2,2
58,2,2
33,2,3
49,2,3
54,2,2
46,2,3
35,2,3
53,2,2
32,2,3
60,2,2
48,2,3
48,2,3
38,2,3
67,2,2
51,2,2
54,2,2
63,2,2
54,2,2
40,2,3
54,2,2
35,2,3
42,2,3
49,2,3
45,2,3
50,2,3
52,2,2
42,2,3
54,2,2
49,2,3
49,2,3
59,2,2
42,2,3
50,2,3
40,2,3
64,2,2
50,2,3
37,2,3
33,2,3
60,2,2
43,2,3
64,2,2
65,2,2
40,2,3
44,2,3
44,2,3
37,2,3
40,2,3
62,2,2
56,2,2
49,2,3
49,2,3
45,2,3
67,2,2
48,2,3
57,2,2
48,2,3
51,2,2
49,3,3
38,3,3
47,3,3
53,3,3
42,3,3
50,3,3
70,3,2
48,3,3
37,3,3
53,3,3
45,3,3
36,3,3
52,3,3
58,3,2
50,3,3
58,3,2
60,3,2
59,3,2
56,3,2
60,3,2
53,3,3
42,3,3
50,3,3
49,3,3
46,3,3
45,3,3
49,3,3
42,3,3
69,3,2
55,3,2
58,3,2
45,3,3
50,3,3
51,3,3
42,3,3
60,3,2
65,3,2
61,3,2
53,3,3
62,3,2
44,3,3
47,3,3
55,3,2
29,3,3
64,3,2
57,3,2
32,3,3
54,3,3
63,3,2
64,3,2
47,3,3
37,3,3
37,3,3
49,3,3
48,3,3
33,3,3
56,3,2
42,3,3
45,3,3
34,3,3
42,3,3
67,3,2
51,3,3
33,3,3
38,3,3
48,3,3
56,3,2
43,3,3
58,3,2
53,3,3
47,3,3
49,3,3
46,3,3
38,3,3
45,3,3
42,3,3
48,3,3
55,3,2
44,3,3
51,3,3
60,3,2
62,3,2
50,3,3
68,3,2
37,3,3
58,3,2
50,3,3
39,3,3
51,3,3
57,3,2
36,3,3
52,3,3
52,3,3
42,3,3
71,3,2
55,3,2
71,3,2
58,3,2
67,3,2
58,3,2
44,3,3
67,3,2
39,3,3
46,3,3
53,3,3
49,3,3
43,3,3
54,3,3
53,3,3
63,3,2
46,3,3
42,3,3
44,3,3
68,3,2
54,3,3
37,3,3
49,3,3
47,3,3
68,3,2
69,3,2
44,3,3
48,3,3
48,3,3
36,3,3
41,3,3
44,3,3
52,3,3
43,3,3
42,3,3
66,3,2
60,3,2
53,3,3
53,3,3
71,3,2
61,3,2
49,3,3
48,4,3
44,4,3
53,4,3
51,4,3
53,4,3
51,4,3
57,4,3
54,4,3
74,4,2
52,4,3
41,4,3
57,4,3
49,4,3
53,4,3
56,4,3
62,4,2
54,4,3
62,4,2
60,4,2
64,4,2
46,4,3
54,4,3
50,4,3
37,4,3
53,4,3
46,4,3
73,4,2
59,4,2
36,4,3
49,4,3
54,4,3
55,4,3
46,4,3
64,4,2
