"Cycle","Generation","YOB"
1,3,1902
1,3,1913
1,3,1905
1,2,1885
1,3,1909
1,2,1899
1,1,1876
1,3,1903
1,2,1897
1,3,1905
1,2,1896
1,2,1899
1,3,1913
1,3,1905
1,2,1895
1,3,1906
1,3,1909
1,3,1906
1,3,1913
1,3,1904
1,2,1886
1,2,1900
1,2,1898
1,2,1884
1,3,1904
1,2,1895
1,3,1911
1,2,1890
1,2,1890
1,2,1894
1,3,1913
1,3,1902
1,3,1912
1,2,1893
1,2,1898
1,3,1908
1,2,1894
1,3,1911
1,3,1901
1,2,1886
1,2,1900
1,2,1895
1,2,1890
1,2,1896
1,2,1891
1,2,1884
1,2,1899
1,2,1898
1,2,1891
1,2,1893
1,2,1891
1,3,1908
1,3,1918
1,3,1906
1,3,1910
1,2,1898
1,2,1899
1,2,1889
1,2,1888
1,3,1904
1,3,1922
1,2,1887
1,2,1899
1,3,1913
1,2,1897
1,3,1908
1,3,1909
1,3,1922
1,3,1910
1,2,1888
1,3,1913
1,3,1907
1,3,1914
1,3,1904
1,1,1882
1,3,1904
1,2,1893
1,3,1902
1,2,1897
1,2,1899
1,3,1905
1,3,1916
1,3,1914
1,2,1898
1,2,1889
1,1,1875
1,2,1891
1,3,1903
1,3,1903
1,3,1913
1,3,1910
1,2,1884
1,2,1884
1,2,1888
1,2,1897
1,3,1916
1,3,1909
1,3,1902
1,3,1906
1,3,1901
1,2,1897
1,2,1896
1,3,1902
1,3,1920
1,2,1892
1,3,1901
1,3,1915
1,2,1887
1,3,1901
1,2,1896
1,2,1891
1,3,1908
1,2,1887
1,2,1886
1,3,1911
1,3,1907
1,2,1886
1,3,1902
1,3,1919
1,2,1888
1,2,1887
1,2,1889
1,2,1895
1,3,1902
1,3,1905
1,3,1902
1,2,1884
1,3,1903
1,2,1894
1,2,1900
2,3,1906
2,3,1902
2,2,1888
2,3,1913
2,3,1905
2,2,1885
2,3,1907
2,3,1902
2,2,1899
2,3,1903
2,2,1897
2,3,1905
2,2,1895
2,2,1896
2,2,1899
2,2,1895
2,3,1902
2,3,1913
2,3,1905
2,1,1876
2,3,1909
2,3,1910
2,3,1906
2,3,1913
2,3,1904
2,2,1886
2,2,1900
2,2,1897
2,3,1910
2,2,1884
2,3,1923
2,3,1904
2,2,1895
2,3,1907
2,2,1890
2,2,1894
2,3,1902
2,2,1893
2,3,1901
2,3,1912
2,2,1890
2,2,1889
2,2,1891
2,2,1898
2,2,1891
2,3,1923
2,3,1908
2,2,1892
2,2,1891
2,3,1908
2,3,1918
2,3,1918
2,3,1906
2,3,1914
2,3,1922
2,2,1899
2,3,1913
2,3,1910
2,3,1913
2,2,1896
2,3,1904
2,3,1922
2,2,1899
2,2,1897
2,3,1908
2,3,1909
2,3,1910
2,3,1913
2,2,1900
